state,avg_delivery_days
SP,8.259608552419094
PR,11.480793060718712
MG,11.515522180072772
DF,12.501486199575371
SC,14.520985846754515
RJ,14.689382157500354
RS,14.708299364095875
GO,14.948177426438296
MS,15.10727496917386
ES,15.192808988764044
TO,17.003225806451614
MT,17.508196721311474
PE,17.79209621993127
BA,18.77464023893565
RN,18.87332053742802
PI,18.931166347992352
RO,19.28205128205128
PB,20.119453924914676
AC,20.32967032967033
CE,20.537166900420758
SE,20.978666666666665
MA,21.20375
PA,23.301707779886147
AL,23.992974238875878
AM,25.96319018404908
AP,27.753086419753085
RR,27.82608695652174
